hh,own_value
3073001802.0,208000.0
3073001805.0,
3073001808.0,78000.0
3073001809.0,
3073002005.0,
3073002205.0,416000.0
3073002207.0,
3073002208.0,
3073002210.0,104000.0
3073002302.0,
3073002303.0,
3073002305.0,
3073002307.0,520000.0
3073002309.0,156000.0
3073002502.0,
3073002505.0,
3073002507.0,41600.0
3073002508.0,145600.0
3083000102.0,
3083000107.0,
3083000109.0,
3083000110.0,312000.0
3083000201.0,
3083000203.0,
3083000204.0,
3083000207.0,
3083000208.0,312000.0
3083000210.0,
3083000212.0,
3083000405.0,
3083000410.0,
3083000411.0,
3093000103.0,
3093000104.0,
3093000105.0,
3093000106.0,260000.0
3093000107.0,
3093000108.0,
3093000109.0,728000.0
3093000110.0,
3093000113.0,
3093000201.0,
3093000202.0,
3093000203.0,260000.0
3093000204.0,
3093000205.0,
3093000207.0,535600.0
3093000208.0,
3093000210.0,312000.0
3101000101.0,
3101000102.0,
3101000103.0,
3101000105.0,
3101000107.0,
3101000108.0,
3101000109.0,416000.0
3101000110.0,
3101000401.0,260000.0
3101000404.0,
3101000406.0,
3101000408.0,
3101000409.0,
3101000411.0,78000.0
3101000412.0,
3101000413.0,
3103000601.0,
3103000602.0,676000.0
3103000603.0,
3103000604.0,390000.0
3103000606.0,
3103000608.0,
3103000609.0,
3103000701.0,
3103000703.0,
3103000705.0,312000.0
3103000707.0,
3103000709.0,520000.0
3103000710.0,832000.0
3103000801.0,
3103000802.0,
3103000803.0,312000.0
3103000805.0,
3103000811.0,260000.0
3103000901.0,
3103000903.0,
3103000904.0,
3103000905.0,
3103000906.0,
3103000908.0,
3103000909.0,156000.0
3103000910.0,26000.0
3103001001.0,364000.0
3103001003.0,
3103001005.0,
3103001007.0,
3103001008.0,
3103001010.0,
3103001011.0,
3103001201.0,
3103001203.0,312000.0
3103001207.0,
3103001209.0,
3103001210.0,
3103001211.0,
3111000102.0,
3111000105.0,520000.0
3111000106.0,280800.0
3111000107.0,182000.0
3111000109.0,
3111000110.0,
3111000111.0,
3113000304.0,
3113000401.0,
3113000402.0,624000.0
3113000403.0,374400.0
3113000404.0,301600.0
3113000405.0,218400.0
3113000407.0,156000.0
3113000408.0,109200.0
3113000409.0,364000.0
3133000101.0,
3133000102.0,
3133000103.0,
3133000104.0,
3133000106.0,
3133000108.0,52000.0
3133000109.0,
3133000111.0,20800.0
3133000201.0,
3133000202.0,
3133000204.0,260000.0
3133000205.0,
3133000206.0,312000.0
3133000208.0,
3133000301.0,31200.0
3133000302.0,
3133000304.0,130000.0
3133000305.0,561600.0
3133000308.0,72800.0
3133000309.0,
3133000311.0,291200.0
3153001601.0,
3153001602.0,
3153001604.0,
3153001605.0,
3153001606.0,
3153001607.0,
3153001609.0,
3153001610.0,
3163001603.0,
3163001608.0,41600.0
3173000901.0,
3173000902.0,104000.0
3173000903.0,
3173000906.0,273000.0
3173000909.0,78000.0
3173000910.0,468000.0
3173001001.0,
3173001003.0,20800.0
3173001004.0,156000.0
3173001005.0,
3173001006.0,208000.0
3173001008.0,
3173001102.0,218400.0
3173001103.0,
3173001105.0,208000.0
3173001106.0,
3173001108.0,
3173001109.0,62400.0
3181000103.0,
3181000104.0,
3181000105.0,
3181000106.0,
3181000113.0,
3183000205.0,
3183000210.0,
3183000301.0,
3183000302.0,
3183000304.0,
3183000305.0,
3183000307.0,
3183000308.0,145600.0
3183000309.0,291200.0
3183000310.0,104000.0
3183000401.0,
3183000403.0,
3183000405.0,
3183000406.0,
3183000407.0,
3183000409.0,
3183000410.0,
3191000501.0,520000.0
3191000502.0,
3191000504.0,
3191000505.0,
3191000506.0,
3191000507.0,
3191000509.0,
3193001202.0,
3193001203.0,26000.0
3193001204.0,312000.0
3193001205.0,
3193001207.0,436800.0
3193001208.0,
3193001209.0,
3193001210.0,1040000.0
3193001211.0,
3203001801.0,312000.0
3203001802.0,
3203001803.0,
3203001804.0,
3203001806.0,364000.0
3203001807.0,
3203001808.0,
3203001809.0,520000.0
3203001810.0,
3203002102.0,
3203002104.0,
3203002105.0,
3203002106.0,
3203002109.0,
3203002110.0,
3203002111.0,65000.0
3203002402.0,
3203002403.0,
3203002404.0,
3203002406.0,
3203002407.0,
3203002409.0,
3203002410.0,
3203002701.0,
3203002702.0,260000.0
3203002703.0,
3203002704.0,
3203002705.0,
3203002706.0,
3203002707.0,62400.0
3203002709.0,93600.0
3203003002.0,
3203003003.0,364000.0
3203003004.0,
3203003005.0,
3203003006.0,260000.0
3203003007.0,52000.0
3203003008.0,
3203003009.0,
3203003010.0,364000.0
3213002101.0,260000.0
3213002103.0,78000.0
3213002105.0,260000.0
3213002106.0,364000.0
3213002108.0,156000.0
3213002110.0,260000.0
3213002304.0,884000.0
3213002308.0,
3213002801.0,
3213002802.0,884000.0
3213002804.0,
3213002805.0,
3213002809.0,
3213002810.0,
3213003001.0,312000.0
3213003002.0,676000.0
3213003004.0,
3213003005.0,
3213003006.0,234000.0
3213003007.0,421200.0
3213003009.0,
3213003010.0,
4013000301.0,
4013000303.0,
4013000304.0,
4013000305.0,
4013000306.0,
4013000307.0,
4013000310.0,
4013000501.0,
4013000503.0,
4013000504.0,
4013000507.0,
4013000508.0,
4013000509.0,
4013000510.0,52000.0
4021000201.0,
4021000202.0,509600.0
4021000203.0,
4021000204.0,
4021000205.0,
4021000207.0,
4021000209.0,
4021000210.0,
4023000701.0,62400.0
4023000703.0,
4023000704.0,
4023000707.0,
4023000710.0,
4023001103.0,
4023001104.0,
4023001105.0,
4023001106.0,
4023001107.0,
4023001108.0,
4023001109.0,
4023001110.0,520000.0
4023001602.0,
4023001603.0,
4023001607.0,182000.0
4023001608.0,
4023001609.0,
4023001610.0,
4023002001.0,
4023002002.0,728000.0
4023002003.0,499200.0
4023002005.0,291200.0
4023002006.0,436800.0
4023002007.0,
4023002008.0,327600.0
4023002009.0,382200.0
4023002506.0,
4023002509.0,956800.0
4023002510.0,
4023003001.0,
4023003002.0,546000.0
4023003003.0,
4023003005.0,52000.0
4023003007.0,182000.0
4023003008.0,
4023003009.0,
4023003010.0,
4031000206.0,
4031000207.0,
4031000209.0,
4031000210.0,364000.0
4031000212.0,
4033000406.0,
4033000408.0,
4033000410.0,582400.0
4033000601.0,
4033000602.0,
4033000604.0,
4033000605.0,
4033000607.0,
4033000608.0,
4033000609.0,
4033000610.0,
